Resolution,Similarity,Time
5,0.017179484215909993,2.386014938354492
10,0.0689274914457346,2.3634696006774902
1,1,3.3596808910369873
2,0.24995790608004578,2.46040940284729
5,0.03996817699651462,2.2340497970581055
10,0.00997204963715041,2.295419692993164
1,1,2.953355073928833
2,0.6872772025345829,2.0757834911346436
5,0.33207514345137307,1.9528226852416992
10,0.1557114209878778,2.13592791557312
1,1,3.6009469032287598
2,0.5353388151752562,2.5291826725006104
5,0.25019673031523776,2.342026948928833
10,0.18027165813633841,2.393857955932617
1,1,3.6743078231811523
2,0.6147326415912777,2.596174955368042
5,0.3033539725971419,2.3416600227355957
10,0.1485908719829802,2.3799595832824707
1,1,3.4189159870147705
2,0.24995790608004578,2.3649253845214844
5,0.03996817699651462,2.3311572074890137
10,0.00997204963715041,2.3163211345672607
1,1,3.5910191535949707
2,0.6399497392823079,2.5236544609069824
5,0.3355749710570561,2.353794574737549
10,0.22965475555131032,2.394181489944458
1,1,3.4353392124176025
2,0.7229154344535306,2.4075369834899902
5,0.49922878547572647,2.3493309020996094
10,0.41224842214285334,2.4185190200805664
1,1,3.2960195541381836
2,0.24995790608004578,2.4723052978515625
5,0.03996817699651462,2.393806219100952
10,0.00997204963715041,2.2528300285339355
1,1,3.281245470046997
2,0.8304016656477207,2.4406213760375977
5,0.5708136292609113,2.2660984992980957
10,0.3950485091179661,2.3204233646392822
1,1,3.3464207649230957
2,0.24995790608004578,2.5228002071380615
5,3.8804055336421966e-4,2.4029436111450195
10,0.00997204963715041,2.46039080619812
1,1,3.3960442543029785
2,0.7599718878927533,2.552572727203369
5,0.5268310218828743,2.374966859817505
10,0.3977378939288304,2.3991854190826416
1,1,2.9771811962127686
2,0.24995790608004578,2.114143133163452
5,0.03996817699651462,1.9990973472595215
10,0.00997204963715041,2.370563268661499
1,1,3.4069128036499023
2,0.6293332700744331,2.2626922130584717
5,0.24809739361430969,2.3358418941497803
10,0.03722356608795306,2.2881977558135986
1,1,3.4921059608459473
2,0.5920364324213706,2.5834743976593018
5,0.3548556987926373,2.188220262527466
10,0.30567595717747253,2.031317710876465
1,1,3.301543712615967
2,0.6378454065008076,2.513538360595703
5,0.23784598845273633,2.4124021530151367
10,0.1279887218259686,2.5111470222473145
1,1,2.8250763416290283
2,0.7734763958664934,2.3079564571380615
5,0.38114304729413157,1.9507231712341309
10,0.18823938119115466,1.9848456382751465
1,1,2.8786942958831787
2,0.24995790608004578,2.1360557079315186
5,0.03996817699651462,2.0243194103240967
10,0.00997204963715041,2.0777015686035156
1,1,3.2633209228515625
2,0.6916760265892947,2.539815664291382
5,0.5336791263696461,2.3594233989715576
10,0.4994542337976187,2.011831045150757
1,1,3.519963026046753
2,0.24995790608004578,2.428300380706787
5,0.03996817699651462,2.242030620574951
10,0.00997204963715041,2.3159704208374023
1,1,3.496600389480591
2,0.24995790608004578,2.204958200454712
5,0.03996817699651462,2.0267539024353027
10,0.00997204963715041,2.0039002895355225
1,1,3.363361120223999
2,0.5501298606796685,2.4677071571350098
5,0.0036135045079824005,2.351456642150879
10,0.06519968997887578,2.3856866359710693
1,1,3.2438251972198486
2,0.7544685326901384,2.2168314456939697
5,0.004353559285413284,2.236938238143921
10,0.017449153826508707,2.315877914428711
1,1,3.42679500579834
2,0.7743006622077993,2.4848244190216064
5,0.4128855427229234,2.3810601234436035
10,0.04333633839280274,2.367727518081665
1,1,3.4061312675476074
2,0.24995790608004578,2.487576484680176
5,0.03996817699651462,2.3677866458892822
10,0.00997204963715041,2.393709659576416
1,1,3.391732692718506
2,0.24995790608004578,2.5786845684051514
5,0.03996817699651462,2.4222068786621094
10,0.00997204963715041,2.3311562538146973
1,1,3.0689473152160645
2,0.8319903398769996,2.4841396808624268
5,0.5658984713954923,2.392660140991211
10,0.38835088611447777,2.4093177318573
1,1,3.325002670288086
2,0.24995790608004578,2.478980302810669
5,0.03996817699651462,2.4007210731506348
10,0.00997204963715041,2.3637187480926514
1,1,3.3489530086517334
2,0.7949134942375482,2.541957378387451
5,0.5997283130181219,2.4182260036468506
10,0.4698971589177085,2.319568395614624
1,1,3.402531147003174
2,0.724446138542935,2.38226056098938
5,0.41195868440093575,2.39798903465271
10,0.16278697245510398,2.3762009143829346
1,1,3.3488171100616455
2,0.24995790608004578,2.2945568561553955
5,0.03996817699651462,2.1603314876556396
10,0.00997204963715041,2.0390212535858154
1,1,3.413817882537842
2,0.24995790608004578,2.485447883605957
5,0.03996817699651462,2.3535165786743164
10,0.00997204963715041,2.2771999835968018
1,1,3.6158268451690674
2,0.24995790608004578,2.579807996749878
5,0.03996817699651462,2.4031498432159424
10,0.00997204963715041,2.3512446880340576
1,1,3.4884562492370605
2,0.2499477862997677,2.495739459991455
5,0.03989983537957485,2.348055839538574
10,0.009939346423709625,2.2982516288757324
1,1,2.810856580734253
2,0.2498233727252382,2.170729875564575
5,5.5911220632320635e-5,2.0089735984802246
10,2.105740083764635e-5,2.0917725563049316
1,1,3.39026141166687
2,0.24995790608004578,2.567133903503418
5,0.03996817699651462,2.2682623863220215
10,0.00997204963715041,2.3300023078918457
1,1,2.974377393722534
2,0.24995790608004578,2.133469343185425
5,0.03996817699651462,1.9482293128967285
10,0.00997204963715041,2.3265602588653564
1,1,2.928694725036621
2,0.006231578841339319,2.177661180496216
5,0.03897181497394103,2.17039155960083
10,0.15619982405131705,1.97548246383667
1,1,3.097722053527832
2,0.7279475861278527,2.630305767059326
5,0.2369541921936224,2.4057981967926025
10,0.3020490573522456,2.2890195846557617
1,1,3.541769027709961
2,0.0027773100675560643,2.5009260177612305
5,6.055784393411306e-4,2.1151421070098877
10,0.00997204963715041,2.0229880809783936
1,1,3.392565965652466
2,0.6500445339843491,2.534451961517334
5,0.3130711784527918,2.1135756969451904
10,0.16322585932731495,2.298186779022217
1,1,3.084543466567993
2,0.24976937554947437,2.404632091522217
5,0.03981444792530863,2.371816396713257
10,0.00989363414603945,2.3957619667053223
1,1,3.3885538578033447
2,0.7503257360271477,2.526787042617798
5,0.5712490940905173,2.2882869243621826
10,0.45123166930571995,2.27816104888916
1,1,3.3639204502105713
2,0.7063116227723195,2.518446683883667
5,0.4438956507451734,2.304687976837158
10,0.19258123885248435,2.2089383602142334
1,1,3.336829662322998
2,0.29633508856290985,2.526684284210205
5,0.15828920687838707,2.315624713897705
10,0.08921637523908404,2.2653651237487793
1,1,3.4043662548065186
2,0.24983134246941346,2.2574033737182617
5,0.03986106627183364,2.0905277729034424
10,0.009892348625691608,2.069018840789795
1,1,3.3920509815216064
2,0.24995790608004578,2.5221354961395264
5,0.03996817699651462,2.3585541248321533
10,0.00997204963715041,2.283341884613037
1,1,3.246555805206299
2,0.6950474298133776,2.4252684116363525
5,0.15047985850567708,2.3588979244232178
10,0.6072521140592544,2.389221668243408
1,1,3.5154507160186768
2,0.7819595670776684,2.584479808807373
5,0.5595455558192761,2.3612658977508545
10,0.4455405687205865,2.286924362182617
1,1,3.2551441192626953
2,0.7216641831253894,2.5950241088867188
5,0.39211497917454397,2.403205633163452
10,0.18835058239888766,2.3385403156280518
1,1,2.8316190242767334
2,0.6742032363300526,2.5224592685699463
5,0.32797037844085314,2.3767926692962646
10,0.18479325178221467,2.3254764080047607
1,1,3.249894380569458
2,0.45160462022865416,2.519721031188965
5,0.16708918438820697,2.4024546146392822
10,0.0605158657415781,2.358593225479126
1,1,3.2907490730285645
2,0.6702500304162519,2.4820823669433594
5,0.3416303046617253,2.325650930404663
10,0.1633352957809119,2.3573055267333984
1,1,3.3777506351470947
2,0.6776198781577119,2.386197805404663
5,0.4093444712255435,2.3071277141571045
10,0.299365000331597,2.373277425765991
1,1,2.9174675941467285
2,0.6297140050345627,2.2268691062927246
5,0.3061658164923215,2.0626282691955566
10,0.19493235327940295,1.995896816253662
1,1,3.3498239517211914
2,1.0520113892257819e-4,2.5543079376220703
5,2.513721823680165e-5,2.401146173477173
10,8.255007977773518e-6,2.377030611038208
1,1,3.4268202781677246
2,0.24995790608004578,2.335893392562866
5,0.03996817699651462,2.024235486984253
10,0.00997204963715041,1.9820947647094727
1,1,2.9493672847747803
2,0.7689526308781311,2.209275960922241
5,0.426565392928165,1.963148832321167
10,0.19762036957274007,2.2271993160247803
1,1,3.3745079040527344
2,0.6631236214241215,2.5656237602233887
5,0.3247864473050107,2.076753854751587
10,0.05558774226216493,2.180992364883423
1,1,3.01322078704834
2,0.24995790608004578,2.3517534732818604
5,0.03996817699651462,2.3319642543792725
10,0.00997204963715041,2.325594663619995
1,1,3.3636984825134277
2,0.6562958835314917,2.433009386062622
5,0.34945509420619286,2.0094685554504395
10,0.17208346183056264,2.0573792457580566
1,1,3.121969699859619
2,0.24995790608004578,2.6166703701019287
5,0.03996817699651462,2.429941415786743
10,0.00997204963715041,2.3156285285949707
1,1,3.437748670578003
2,0.24995790608004578,2.484102249145508
5,0.03996817699651462,2.2325873374938965
10,0.00997204963715041,2.376702308654785
1,1,3.359968662261963
2,0.24995790608004578,2.60695219039917
5,0.03996817699651462,2.3710925579071045
10,0.00997204963715041,2.243752956390381
1,1,3.364720582962036
2,0.6926563861243229,2.4438865184783936
5,0.43389078285311633,2.2633066177368164
10,0.3268023073885512,2.2039051055908203
1,1,2.9748570919036865
2,0.24995790608004578,2.1574347019195557
5,0.03996817699651462,1.8601844310760498
10,0.00997204963715041,2.007683515548706
1,1,3.2687578201293945
2,0.6838146797298754,2.389873504638672
5,0.020379038121165587,2.3721747398376465
10,0.04133485151023114,2.318537950515747
1,1,3.4623372554779053
2,0.24995790608004578,2.5268073081970215
5,0.03996817699651462,2.4354188442230225
10,0.00997204963715041,2.3656091690063477
1,1,2.978266477584839
2,0.250177149764495,2.454328775405884
5,1.5210564057065905e-4,2.2916486263275146
